Date,Contract,Units,Volume,LowPrice,HighPrice,AvgPrice,LastPrice
8/1/2000,Rep,142,75.106,0.524,0.536,0.529,0.524
8/2/2000,Dem,35,16.561,0.471,0.476,0.473,0.475
8/2/2000,Reform,17,0.085,0.005,0.005,0.005,0.005
8/2/2000,Rep,58,30.315,0.52,0.524,0.523,0.52
8/3/2000,Dem,701,339.578,0.471,0.495,0.484,0.48
8/3/2000,Reform,152,0.997,0.006,0.008,0.007,0.006
8/3/2000,Rep,333,171.359,0.5,0.54,0.515,0.524
8/4/2000,Dem,784,376.538,0.468,0.49,0.48,0.478
8/4/2000,Reform,983,5.421,0.005,0.006,0.006,0.005
8/4/2000,Rep,710,371.07,0.51,0.54,0.523,0.51
8/5/2000,Dem,201,96.198,0.475,0.484,0.479,0.475
8/5/2000,Reform,130,0.549,0.004,0.005,0.004,0.005
8/5/2000,Rep,263,137.002,0.517,0.525,0.521,0.525
8/6/2000,Dem,257,121.663,0.471,0.475,0.473,0.471
8/6/2000,Reform,545,2.38,0.004,0.005,0.004,0.004
8/6/2000,Rep,377,197.895,0.515,0.525,0.525,0.515
8/7/2000,Dem,"1,283",599.016,0.448,0.485,0.467,0.47
8/7/2000,Reform,"1,029",4.166,0.004,0.005,0.004,0.004
8/7/2000,Rep,516,277.193,0.521,0.55,0.537,0.54
8/8/2000,Dem,414,197.213,0.458,0.49,0.476,0.476
8/8/2000,Reform,301,1.229,0.004,0.005,0.004,0.004
8/8/2000,Rep,260,137.824,0.52,0.539,0.53,0.52
8/9/2000,Dem,668,321.48,0.474,0.485,0.481,0.483
8/9/2000,Reform,175,0.77,0.004,0.005,0.004,0.004
8/9/2000,Rep,115,59.529,0.511,0.522,0.518,0.522
8/10/2000,Dem,256,124.246,0.482,0.489,0.485,0.485
8/10/2000,Reform,477,2.013,0.004,0.006,0.004,0.005
8/10/2000,Rep,509,259.083,0.501,0.524,0.509,0.507
8/11/2000,Dem,447,213.622,0.465,0.49,0.478,0.465
8/11/2000,Reform,17,0.084,0.004,0.005,0.005,0.004
8/11/2000,Rep,395,203.746,0.507,0.53,0.516,0.53
8/12/2000,Dem,329,158.154,0.468,0.493,0.481,0.48
8/12/2000,Reform,135,0.555,0.004,0.005,0.004,0.004
8/12/2000,Rep,128,66.574,0.52,0.527,0.52,0.52
8/13/2000,Dem,24,11.712,0.488,0.488,0.488,0.488
8/13/2000,Reform,100,0.5,0.005,0.005,0.005,0.005
8/13/2000,Rep,18,9.348,0.518,0.521,0.519,0.521
8/14/2000,Dem,482,229.66,0.469,0.486,0.476,0.484
8/14/2000,Reform,42,0.168,0.004,0.004,0.004,0.004
8/14/2000,Rep,85,44.188,0.517,0.529,0.52,0.517
